City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
135,Gazanjyk,TM,2022-11-09 00:43:19,39.2446,55.5154,41.54,56,0,16.91
136,Glen Allen,US,2022-11-09 00:43:19,37.666,-77.5064,54.07,59,0,1.01
137,Barabinsk,RU,2022-11-09 00:44:19,55.3571,78.357,22.12,97,85,5.12
138,Hambantota,LK,2022-11-09 00:44:20,6.1241,81.1185,73.74,100,75,3.44
139,Norman Wells,CA,2022-11-09 00:44:20,65.282,-126.8329,8.64,72,75,4.61
140,Nikolskoye,RU,2022-11-09 00:44:20,59.7035,30.7861,42.8,90,100,5.86
141,Sinnamary,GF,2022-11-09 00:44:21,5.3833,-52.95,76.46,90,100,8.01
142,Luderitz,NA,2022-11-09 00:44:21,-26.6481,15.1594,58.19,84,5,10.71
143,Ilhabela,BR,2022-11-09 00:44:22,-23.7781,-45.3581,65.97,86,17,6.08
144,Mayo,US,2022-11-09 00:43:47,38.8876,-76.5119,55.35,62,0,6.91
145,Solnechnyy,RU,2022-11-09 00:44:22,50.7214,136.6319,31.14,56,100,8.88
146,Half Moon Bay,US,2022-11-09 00:44:23,37.4636,-122.4286,54.36,74,0,13.8
147,Mikun,RU,2022-11-09 00:44:23,62.3547,50.0771,32.83,98,100,5.26
148,Hirado,JP,2022-11-09 00:44:23,33.3597,129.5531,68.4,54,0,3.58
149,Juneau,US,2022-11-09 00:44:24,58.3019,-134.4197,31.21,77,75,5.75
150,Tasiilaq,GL,2022-11-09 00:44:24,65.6145,-37.6368,30.36,97,100,7.16
151,Tautira,PF,2022-11-09 00:44:25,-17.7333,-149.15,76.77,75,100,4.81
152,Kautokeino,NO,2022-11-09 00:44:25,69.0125,23.0412,22.48,97,92,3.11
153,Ratzeburg,DE,2022-11-09 00:44:26,53.7,10.7667,57.49,72,75,5.75
154,Rundu,NA,2022-11-09 00:44:26,-17.9333,19.7667,73.27,41,0,4.36
155,Narsaq,GL,2022-11-09 00:44:26,60.9167,-46.05,26.82,70,3,7.4
156,Russell,US,2022-11-09 00:44:27,32.3502,-85.1999,74.8,50,0,3.44
157,San Luis,AR,2022-11-09 00:44:27,-33.295,-66.3356,72.23,36,100,10.22
158,Bilma,NE,2022-11-09 00:44:28,18.6853,12.9164,70.21,24,1,9.46
159,Sebinkarahisar,TR,2022-11-09 00:44:28,40.2883,38.4236,43.12,90,100,1.36
160,Ternate,ID,2022-11-09 00:44:28,0.8,127.4,84.13,70,93,4.23
161,Channel-Port Aux Basques,CA,2022-11-09 00:44:29,47.5702,-59.1367,41.97,65,14,32.53
162,Iralaya,HN,2022-11-09 00:44:29,15.0,-83.2333,77.76,84,5,10.0
163,Hithadhoo,MV,2022-11-09 00:44:30,-0.6,73.0833,81.03,79,100,16.49
164,La Rioja,ES,2022-11-09 00:44:30,42.25,-2.5,46.18,79,100,5.82
165,Moron,AR,2022-11-09 00:44:31,-34.6534,-58.6198,69.93,79,1,6.98
166,Kimbe,PG,2022-11-09 00:44:31,-5.5502,150.1429,82.38,80,100,2.77
167,Axim,GH,2022-11-09 00:44:31,4.8699,-2.2405,77.27,87,96,4.52
168,Harnosand,SE,2022-11-09 00:43:21,62.6323,17.9379,39.0,98,100,15.08
169,Pochutla,MX,2022-11-09 00:44:32,15.7432,-96.4661,75.81,87,62,3.06
170,Hohhot,CN,2022-11-09 00:43:36,40.8106,111.6522,41.29,87,40,4.47
171,Grajau,BR,2022-11-09 00:44:32,-5.8194,-46.1386,73.17,97,100,1.48
172,Abnub,EG,2022-11-09 00:44:33,27.2696,31.1511,62.82,57,97,6.2
173,Komsomolskiy,UZ,2022-11-09 00:44:33,40.4272,71.7189,39.92,75,77,2.3
174,Cabedelo,BR,2022-11-09 00:44:33,-6.9811,-34.8339,79.47,80,100,10.13
175,Sosnovo-Ozerskoye,RU,2022-11-09 00:44:34,52.5249,111.5418,15.31,82,9,6.93
176,Mount Gambier,AU,2022-11-09 00:44:34,-37.8333,140.7667,79.97,44,70,11.52
177,Cidreira,BR,2022-11-09 00:44:34,-30.1811,-50.2056,62.28,87,96,11.77
178,Iqaluit,CA,2022-11-09 00:44:35,63.7506,-68.5145,17.33,92,100,0.0
179,Bethel,US,2022-11-09 00:44:35,41.3712,-73.414,48.76,38,0,8.05
180,Belmonte,BR,2022-11-09 00:44:35,-15.8631,-38.8828,72.7,84,100,4.52
181,Ivolginsk,RU,2022-11-09 00:44:36,51.7492,107.2837,19.06,79,100,2.24
182,Sao Filipe,CV,2022-11-09 00:44:36,14.8961,-24.4956,78.33,67,84,6.93
183,Lexington,US,2022-11-09 00:45:25,37.9887,-84.4777,56.52,37,0,6.91
184,Asfi,MA,2022-11-09 00:45:37,32.2994,-9.2372,64.24,79,6,6.38
185,Santa Maria,BR,2022-11-09 00:45:37,-29.6842,-53.8069,63.7,63,0,8.05
186,Salalah,OM,2022-11-09 00:45:37,17.0151,54.0924,75.29,78,20,4.61
187,Itacoatiara,BR,2022-11-09 00:45:38,-3.1431,-58.4442,77.95,78,99,3.74
188,Verkhnevilyuysk,RU,2022-11-09 00:45:38,63.4453,120.3167,-5.12,98,90,1.97
189,Kahului,US,2022-11-09 00:45:38,20.8947,-156.47,87.82,61,40,26.46
190,Kavaratti,IN,2022-11-09 00:45:39,10.5669,72.642,82.26,72,84,8.34
191,Fort Nelson,CA,2022-11-09 00:41:37,58.8053,-122.7002,-8.01,77,40,2.3
192,Kodiak,US,2022-11-09 00:45:39,57.79,-152.4072,42.31,87,100,23.02
193,Pimentel,PE,2022-11-09 00:45:40,-6.8367,-79.9342,63.59,88,15,12.8
194,Pentecoste,BR,2022-11-09 00:45:40,-3.7928,-39.2703,76.06,75,100,3.94
195,Chia,CO,2022-11-09 00:42:29,4.8588,-74.0587,57.11,96,100,2.13
196,Georgetown,MY,2022-11-09 00:45:06,5.4112,100.3354,81.23,92,20,3.44
197,Havoysund,NO,2022-11-09 00:45:41,70.9963,24.6622,37.63,85,27,10.36
198,Remedios,CU,2022-11-09 00:45:41,22.4947,-79.5458,74.32,75,91,9.57
199,Puerto Baquerizo Moreno,EC,2022-11-09 00:45:41,-0.9,-89.6,66.58,75,71,10.0
200,Boralday,KZ,2022-11-09 00:45:42,43.3578,76.8594,35.46,80,100,4.47
